Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,57.050632894992496,4.819045487312905,63.49261435575333,51.84307077249526
FCN,62.0709191448918,5.351253640583045,69.74038225060099,55.71380271634621
Ensemble,65.71975855585353,5.018496862522283,72.89057910992011,59.42928986012837
LightGBM,68.54967773325374,5.308990740660224,74.37956652882912,61.76058953057654
RandomForest,68.3470692660705,6.1734710416876375,76.003161880992,60.03890648983166
XGBoost,68.29201990673076,6.076207368682761,76.89214959134613,60.90635494591346
NuSVR,75.62019929668854,6.1662002625961,82.85734637143317,66.14675804749686
LinearRegression,108.62627615816254,6.3662045388223385,115.28635408760042,100.22204239889209
SVR,108.56107231582303,7.109421734277649,117.41597294848525,98.90369132192323
