Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,15.17954755941829,1.0728148725128401,16.2919984060108,13.525390604302443
SVR,15.162804039365035,1.0822706551894408,16.58106229238207,13.517814184178
Ensemble,15.375459022830608,1.085634178981666,16.720217033006215,13.604237341703538
XGBoost,15.681687589677072,1.1226258948897512,16.82342982231816,14.140478107597252
RandomForest,15.944704927818266,1.095250696900979,17.12399815300787,14.29789724135206
NuSVR,15.897817423264778,1.1924731833884228,17.20842661406278,13.950530152117567
LightGBM,16.104452457858432,1.18866388234195,17.504324225519316,14.202494642405787
FCN,16.882804104829134,1.4780141519660532,18.915003629274004,15.028956646255303
