Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,0.7507919267612021,0.04618987428894293,0.8059839120540268,0.7015934743802472
Ensemble,0.7569326983888783,0.043557697464574836,0.8099942157494098,0.7068881347830542
SVR,0.7585144299149654,0.047002294665949955,0.819864174626598,0.7051697095941072
NuSVR,0.7577973910976716,0.049195892756486864,0.8232436360954859,0.7044289851315948
LinearRegression,0.7777675718293505,0.042611827195723054,0.8239867516280555,0.7192748677900414
XGBoost,0.7825728246569633,0.040923148749156486,0.8284790217876434,0.7290076017379761
LightGBM,0.7849666212032491,0.04457325921399687,0.8293197688355589,0.724568380950108
FCN,0.7739798042178154,0.04810901177864815,0.8328695148229599,0.7007066011428833
RandomForest,0.7899112753973405,0.04284386349216988,0.8337850890570684,0.7397012364721403
