Model,Avg MAE,Std MAE,90th percentile,10th percentile
SVR,1.1511369098808353,0.09456663256322606,1.2369294922065164,1.0233800413090541
Ensemble,1.1671598959185474,0.08907486728576423,1.261887133050157,1.0731908128639185
Weighted_Ensemble,1.1659166142807265,0.087975521032217,1.2619402053576068,1.0767956373315017
NuSVR,1.1859072094613834,0.08239357874942883,1.2695472040144742,1.0868353102218307
FCN,1.1932080245971677,0.08970773160492118,1.2925410461425781,1.081000717163086
LinearRegression,1.1844557573535317,0.08611755358160367,1.295467423636632,1.0810824766984939
RandomForest,1.2234894156602545,0.09456162997683927,1.3194976059180923,1.0953905524182812
LightGBM,1.2065305762587786,0.09159703078282493,1.3244070643303856,1.0924744495913499
XGBoost,1.2017015197753909,0.09123143801561473,1.3302485961914063,1.0897967071533203
