Model,Avg F1,Std F1,90th percentile,10th percentile
Ensemble,0.8732671207620782,0.03355519462124798,0.9142857142857143,0.8333333333333334
Weighted_Ensemble,0.878996112489652,0.03999248043132101,0.9354838709677419,0.8235294117647058
LogisticRegression,0.8765437946781935,0.04206996776854844,0.9310344827586207,0.8214285714285714
SVC,0.8789010765003152,0.04022117029981545,0.9354838709677419,0.8163265306122449
XGBoost,0.8596954454029371,0.039070510157567975,0.9047619047619048,0.8125
FCN,0.8531086525619281,0.04243146483796367,0.9090909090909091,0.7931034482758621
LightGBM,0.8541824367845011,0.04763187274481928,0.9142857142857143,0.78125
RandomForest,0.7877928491812607,0.06146958790312693,0.84375,0.7169811320754716
