Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,0.6298720762237667,0.04318634023985407,0.6896971618944248,0.5800579103537986
SVR,0.6376820542027865,0.04479381720854028,0.7006475930075545,0.5912637150195892
Ensemble,0.6396985130041073,0.04077550294359996,0.7011998526570886,0.5863705959252246
LightGBM,0.6671883770252078,0.03953395526827618,0.723855265056346,0.6157444846160564
LinearRegression,0.6685584750838208,0.04471489085273074,0.7257218601647804,0.6066102601723321
NuSVR,0.6684247048700717,0.043992111098393974,0.7274123453908548,0.6130192558672848
XGBoost,0.6677204658449157,0.041844945023739914,0.7348359721575597,0.6089412482209908
RandomForest,0.678242332418761,0.03665754778724655,0.7357115095604101,0.6298598401262436
FCN,0.682388528631639,0.04624719848085586,0.7426677082860192,0.6196967575901239
