Model,Avg MAE,Std MAE,90th percentile,10th percentile
SVR,78.02708335123226,8.510403362159984,88.1596699596643,67.24741689967873
NuSVR,78.6378630913731,8.636710693137163,89.57362482287834,67.02643670735796
Weighted_Ensemble,79.75192785604403,7.449777472354481,91.07075027615922,70.45598470828465
Ensemble,80.50195910755612,7.542524934657051,91.31610087097368,71.27316633526965
FCN,84.48580483886671,7.750658575980644,93.16994670583873,75.01457517601601
LightGBM,88.90135993353623,7.881636349589527,98.6073479187653,79.49807791213996
RandomForest,88.59503573446632,8.956738497508782,99.02244469924747,75.57230536926318
XGBoost,90.98189859402133,7.33265862011132,100.2407865554516,82.78644916296152
LinearRegression,111.11531816089523,7.511346563492899,120.8359318894401,101.47590086570852
