Model,Avg MAE,Std MAE,90th percentile,10th percentile
NuSVR,0.9738802937364759,0.06611403900834108,1.0564020606737154,0.8714896218927994
Weighted_Ensemble,0.9728840563047862,0.06485962589865303,1.0606477505608183,0.8746430030295891
Ensemble,0.9843602094156556,0.0660950041420605,1.0634762121520531,0.8776944979828204
SVR,0.9746173709602953,0.06811534654348834,1.0667308172848669,0.8628260063846146
LinearRegression,1.0005558847713119,0.06357540413884424,1.0934928734696825,0.9184472008966102
FCN,1.0215641283219865,0.07306424981248281,1.113393368259553,0.9254630304151966
RandomForest,1.0386786084668644,0.06847495091750944,1.1191318939611248,0.9352238269017498
XGBoost,1.0469346541743125,0.06689339364602205,1.1292408051029328,0.9550472690213111
LightGBM,1.035971317536343,0.0728317650477146,1.1339034515905724,0.925187111659473
