Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,0.7193205681568681,0.07380885588244208,0.8231976856957374,0.6219931277746934
Ensemble,0.7089065570325728,0.08003129234496045,0.8337343494513019,0.6207414397597294
RandomForest,0.7918036765275582,0.0902150765889911,0.9193983294048329,0.6909688994111521
SVR,0.7744778372360408,0.10465201577161029,0.9251107808808037,0.6421944364108351
NuSVR,0.7923886697376669,0.10255063720979787,0.9490800346628815,0.6538029538722953
XGBoost,0.8186641802105763,0.09393454869527243,0.9548812735539216,0.6957779723864336
LightGBM,0.9000570586703587,0.08805394713749766,1.0144515807514765,0.7903486309493812
FCN,0.8931771619915962,0.11148594883273176,1.033850689117725,0.7336503556141487
