Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,1.0259518845615616,0.10668364963088643,1.1780864170387295,0.8816943776057968
SVR,1.072055994296816,0.09958436144445293,1.1954066624346975,0.9354617172501412
RandomForest,1.0751230198960948,0.11959253393085334,1.2323879590863078,0.914874492011831
Ensemble,1.0818556488111333,0.11587738051929326,1.2412323626888164,0.9227490709987101
NuSVR,1.1572788555678506,0.11612101590852357,1.2951163446760503,0.9944928051286154
XGBoost,1.1294154458694043,0.1343198172090919,1.3045092516002201,0.9285746352776648
LightGBM,1.2263124356030686,0.1385859403029162,1.3836651688422699,1.0371806533502368
FCN,1.2565099949815441,0.17292898839740367,1.422129777925355,1.017979524911396
LinearRegression,1.5190896181564688,0.13306830954005508,1.6915183651979702,1.3323607725953084
