Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,0.8366371709730287,0.06424395882586492,0.920383744707929,0.756974436942724
Ensemble,0.8402202602972965,0.06451103215427785,0.9267684077038916,0.7619846836457898
NuSVR,0.8582781321510977,0.0637700124772368,0.9487219004909954,0.775336607382831
LinearRegression,0.8729090091042679,0.05974774059642365,0.9527062071298287,0.7897830883615085
LightGBM,0.8621721127695312,0.06511664447370016,0.9527223576865675,0.7780379669834456
SVR,0.8630022819678669,0.06361704017610471,0.9544674303132589,0.7647404725878947
XGBoost,0.8806549605727195,0.06713547562001074,0.9703963398933411,0.7825510799884796
FCN,0.8839939090609551,0.06848213175373408,0.975356861948967,0.798511415719986
RandomForest,0.8982658686787478,0.06996115071374476,0.9953610225746551,0.8023224435767584
