Model,Avg MAE,Std MAE,90th percentile,10th percentile
Weighted_Ensemble,17.13102867731883,1.3879349512895398,19.287404753610037,15.251083187456677
SVR,18.247415940324714,1.5079563394767193,20.054051081876953,15.97328096583479
RandomForest,18.449011513953693,1.4955506083183403,20.541925161460636,16.46029220885302
Ensemble,19.16180359820726,1.3794636244968541,20.756517826855546,17.34029892713799
LightGBM,18.791343916470108,1.5452455696442562,20.871921953269233,16.740362179496692
XGBoost,19.31163901326736,1.5955631768692593,21.490941379180317,17.071105052879222
FCN,20.35438971427331,1.6207215471777823,22.25547236105112,17.934310454735385
NuSVR,29.48348041581498,1.8525636310424225,31.87666639561009,27.050152798686913
LinearRegression,29.758345294503894,1.7300102561850874,31.943786689703035,27.318389685762476
