Model,Avg MAE,Std MAE,90th percentile,10th percentile
Ensemble,1.016024398118873,0.07754407273135128,1.0949370952674922,0.9157623593224857
NuSVR,1.0178828593915616,0.07763107327006624,1.1029283610647374,0.9083069111907517
Weighted_Ensemble,1.0137672854776678,0.077928331220321,1.1030113721401027,0.9060173491693682
SVR,1.0186468953257921,0.08434883287476262,1.1074726001701882,0.9001048373063846
LinearRegression,1.0297750673845372,0.0776563653809185,1.1180675380729457,0.9249418546471722
RandomForest,1.072023607172203,0.07695833790321295,1.1366453809420114,0.9669193310520969
LightGBM,1.0517304058059045,0.08274096673173788,1.1635598939928165,0.959928773008191
FCN,1.0691781106567388,0.07954015045310743,1.1660624084472657,0.9532529754638672
XGBoost,1.0794148605346678,0.0773710727574196,1.188670455932617,0.9737552795410156
